Waf: Entering directory `/home/anna/workspace/ns-allinone-3.26/ns-3.26/build'
Waf: Leaving directory `/home/anna/workspace/ns-allinone-3.26/ns-3.26/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.846s)
1.1s: 	45.4554 Mbit/s
1.2s: 	56.5248 Mbit/s
1.3s: 	57.1136 Mbit/s
1.4s: 	56.9958 Mbit/s
1.5s: 	56.9958 Mbit/s
1.6s: 	47.3395 Mbit/s
1.7s: 	56.7603 Mbit/s
1.8s: 	57.1136 Mbit/s
1.9s: 	50.9901 Mbit/s
2s: 	52.1677 Mbit/s
2.1s: 	56.9958 Mbit/s
2.2s: 	47.3395 Mbit/s
2.3s: 	51.8144 Mbit/s
2.4s: 	56.9958 Mbit/s
2.5s: 	57.2314 Mbit/s
2.6s: 	56.407 Mbit/s
2.7s: 	52.1677 Mbit/s
2.8s: 	56.5248 Mbit/s
2.9s: 	56.9958 Mbit/s
3s: 	57.1136 Mbit/s
3.1s: 	56.6426 Mbit/s
3.2s: 	56.9958 Mbit/s
3.3s: 	52.1677 Mbit/s
3.4s: 	52.0499 Mbit/s
3.5s: 	57.1136 Mbit/s
3.6s: 	52.0499 Mbit/s
3.7s: 	51.8144 Mbit/s
3.8s: 	46.633 Mbit/s
3.9s: 	56.8781 Mbit/s
4s: 	57.1136 Mbit/s
4.1s: 	55.936 Mbit/s
4.2s: 	55.7005 Mbit/s
4.3s: 	57.1136 Mbit/s
4.4s: 	57.1136 Mbit/s
4.5s: 	55.7005 Mbit/s
4.6s: 	32.1485 Mbit/s
4.7s: 	57.4669 Mbit/s
4.8s: 	51.9322 Mbit/s
4.9s: 	57.1136 Mbit/s
5s: 	50.6368 Mbit/s
5.1s: 	56.6426 Mbit/s
5.2s: 	56.9958 Mbit/s
5.3s: 	57.1136 Mbit/s
5.4s: 	47.4573 Mbit/s
5.5s: 	46.0442 Mbit/s
5.6s: 	56.2893 Mbit/s
5.7s: 	52.0499 Mbit/s
5.8s: 	55.465 Mbit/s
5.9s: 	52.521 Mbit/s
6s: 	56.9958 Mbit/s
6.1s: 	51.2256 Mbit/s
6.2s: 	56.1715 Mbit/s
6.3s: 	52.8742 Mbit/s
6.4s: 	55.5827 Mbit/s
6.5s: 	57.2314 Mbit/s
6.6s: 	56.8781 Mbit/s
6.7s: 	56.7603 Mbit/s
6.8s: 	56.9958 Mbit/s
6.9s: 	51.1078 Mbit/s
7s: 	51.4611 Mbit/s
7.1s: 	46.9862 Mbit/s
7.2s: 	55.936 Mbit/s
7.3s: 	47.2218 Mbit/s
7.4s: 	51.8144 Mbit/s
7.5s: 	47.2218 Mbit/s
7.6s: 	47.104 Mbit/s
7.7s: 	51.8144 Mbit/s
7.8s: 	57.3491 Mbit/s
7.9s: 	56.9958 Mbit/s
8s: 	55.2294 Mbit/s
8.1s: 	46.1619 Mbit/s
8.2s: 	56.9958 Mbit/s
8.3s: 	56.9958 Mbit/s
8.4s: 	43.4534 Mbit/s
8.5s: 	54.9939 Mbit/s
8.6s: 	57.1136 Mbit/s
8.7s: 	42.6291 Mbit/s
8.8s: 	46.633 Mbit/s
8.9s: 	55.7005 Mbit/s
9s: 	52.521 Mbit/s
9.1s: 	56.8781 Mbit/s
9.2s: 	56.6426 Mbit/s
9.3s: 	57.1136 Mbit/s
9.4s: 	52.1677 Mbit/s
9.5s: 	56.6426 Mbit/s
9.6s: 	52.8742 Mbit/s
9.7s: 	55.3472 Mbit/s
9.8s: 	56.7603 Mbit/s
9.9s: 	57.3491 Mbit/s
10s: 	56.6426 Mbit/s
10.1s: 	57.1136 Mbit/s
10.2s: 	55.8182 Mbit/s
10.3s: 	55.936 Mbit/s
10.4s: 	56.6426 Mbit/s
10.5s: 	52.2854 Mbit/s
10.6s: 	56.0538 Mbit/s
10.7s: 	57.2314 Mbit/s
10.8s: 	51.2256 Mbit/s
10.9s: 	57.1136 Mbit/s

Average throughtput: 53.8658 Mbit/s

real	1m33.247s
user	1m32.704s
sys	0m0.448s
