Waf: Entering directory `/home/anna/workspace/ns-allinone-3.26/ns-3.26/build'
Waf: Leaving directory `/home/anna/workspace/ns-allinone-3.26/ns-3.26/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.843s)
1.1s: 	41.944 Mbit/s
1.2s: 	51.24 Mbit/s
1.3s: 	51.128 Mbit/s
1.4s: 	51.464 Mbit/s
1.5s: 	48.496 Mbit/s
1.6s: 	51.52 Mbit/s
1.7s: 	47.992 Mbit/s
1.8s: 	44.52 Mbit/s
1.9s: 	48.16 Mbit/s
2s: 	47.656 Mbit/s
2.1s: 	48.216 Mbit/s
2.2s: 	51.408 Mbit/s
2.3s: 	51.632 Mbit/s
2.4s: 	46.648 Mbit/s
2.5s: 	51.352 Mbit/s
2.6s: 	51.296 Mbit/s
2.7s: 	51.464 Mbit/s
2.8s: 	47.712 Mbit/s
2.9s: 	47.656 Mbit/s
3s: 	47.992 Mbit/s
3.1s: 	48.496 Mbit/s
3.2s: 	48.552 Mbit/s
3.3s: 	47.992 Mbit/s
3.4s: 	48.328 Mbit/s
3.5s: 	47.992 Mbit/s
3.6s: 	44.8 Mbit/s
3.7s: 	51.52 Mbit/s
3.8s: 	51.464 Mbit/s
3.9s: 	44.128 Mbit/s
4s: 	44.128 Mbit/s
4.1s: 	51.296 Mbit/s
4.2s: 	50.176 Mbit/s
4.3s: 	48.832 Mbit/s
4.4s: 	51.632 Mbit/s
4.5s: 	47.432 Mbit/s
4.6s: 	51.464 Mbit/s
4.7s: 	48.272 Mbit/s
4.8s: 	48.664 Mbit/s
4.9s: 	47.6 Mbit/s
5s: 	44.856 Mbit/s
5.1s: 	50.96 Mbit/s
5.2s: 	48.048 Mbit/s
5.3s: 	47.376 Mbit/s
5.4s: 	48.664 Mbit/s
5.5s: 	47.376 Mbit/s
5.6s: 	46.48 Mbit/s
5.7s: 	51.576 Mbit/s
5.8s: 	51.744 Mbit/s
5.9s: 	51.128 Mbit/s
6s: 	51.632 Mbit/s
6.1s: 	44.296 Mbit/s
6.2s: 	47.656 Mbit/s
6.3s: 	51.576 Mbit/s
6.4s: 	51.408 Mbit/s
6.5s: 	47.992 Mbit/s
6.6s: 	51.632 Mbit/s
6.7s: 	50.12 Mbit/s
6.8s: 	48.328 Mbit/s
6.9s: 	47.936 Mbit/s
7s: 	51.408 Mbit/s
7.1s: 	51.912 Mbit/s
7.2s: 	50.176 Mbit/s
7.3s: 	51.968 Mbit/s
7.4s: 	51.296 Mbit/s
7.5s: 	46.984 Mbit/s
7.6s: 	46.424 Mbit/s
7.7s: 	43.232 Mbit/s
7.8s: 	47.656 Mbit/s
7.9s: 	47.824 Mbit/s
8s: 	47.992 Mbit/s
8.1s: 	51.184 Mbit/s
8.2s: 	48.832 Mbit/s
8.3s: 	50.344 Mbit/s
8.4s: 	51.184 Mbit/s
8.5s: 	51.856 Mbit/s
8.6s: 	39.144 Mbit/s
8.7s: 	47.488 Mbit/s
8.8s: 	51.464 Mbit/s
8.9s: 	51.632 Mbit/s
9s: 	49.672 Mbit/s
9.1s: 	50.008 Mbit/s
9.2s: 	48.216 Mbit/s
9.3s: 	47.824 Mbit/s
9.4s: 	47.432 Mbit/s
9.5s: 	48.384 Mbit/s
9.6s: 	48.048 Mbit/s
9.7s: 	51.408 Mbit/s
9.8s: 	47.88 Mbit/s
9.9s: 	51.184 Mbit/s
10s: 	51.296 Mbit/s
10.1s: 	51.744 Mbit/s
10.2s: 	47.88 Mbit/s
10.3s: 	51.8 Mbit/s
10.4s: 	47.544 Mbit/s
10.5s: 	47.936 Mbit/s
10.6s: 	48.048 Mbit/s
10.7s: 	48.328 Mbit/s
10.8s: 	43.736 Mbit/s
10.9s: 	51.968 Mbit/s

real	5m14.116s
user	5m12.704s
sys	0m0.860s
